zipcode,zone,trange,zonetitle
01473,5b,-15 to -10,5b: -15 to -10
01474,5b,-15 to -10,5b: -15 to -10
01475,5b,-15 to -10,5b: -15 to -10
01501,5b,-15 to -10,5b: -15 to -10
01503,6a,-10 to -5,6a: -10 to -5
01504,6a,-10 to -5,6a: -10 to -5
01505,6a,-10 to -5,6a: -10 to -5
01506,5b,-15 to -10,5b: -15 to -10
01507,6a,-10 to -5,6a: -10 to -5
01508,6a,-10 to -5,6a: -10 to -5
01509,6a,-10 to -5,6a: -10 to -5
01510,6a,-10 to -5,6a: -10 to -5
01515,5b,-15 to -10,5b: -15 to -10
01516,6a,-10 to -5,6a: -10 to -5
01518,5b,-15 to -10,5b: -15 to -10
01519,6a,-10 to -5,6a: -10 to -5
01520,6a,-10 to -5,6a: -10 to -5
01521,6a,-10 to -5,6a: -10 to -5
01522,6a,-10 to -5,6a: -10 to -5
01523,6a,-10 to -5,6a: -10 to -5
01524,6a,-10 to -5,6a: -10 to -5
01525,6a,-10 to -5,6a: -10 to -5
01526,5b,-15 to -10,5b: -15 to -10
01527,5b,-15 to -10,5b: -15 to -10
01529,6a,-10 to -5,6a: -10 to -5
01531,5b,-15 to -10,5b: -15 to -10
01532,6a,-10 to -5,6a: -10 to -5
01534,6a,-10 to -5,6a: -10 to -5
01535,6a,-10 to -5,6a: -10 to -5
01536,6a,-10 to -5,6a: -10 to -5
01537,5b,-15 to -10,5b: -15 to -10
01538,6a,-10 to -5,6a: -10 to -5
01540,5b,-15 to -10,5b: -15 to -10
01541,6a,-10 to -5,6a: -10 to -5
01542,6a,-10 to -5,6a: -10 to -5
01543,6a,-10 to -5,6a: -10 to -5
01545,6a,-10 to -5,6a: -10 to -5
01546,6a,-10 to -5,6a: -10 to -5
01550,6a,-10 to -5,6a: -10 to -5
01560,6a,-10 to -5,6a: -10 to -5
01561,6a,-10 to -5,6a: -10 to -5
01562,5b,-15 to -10,5b: -15 to -10
01564,5b,-15 to -10,5b: -15 to -10
01566,6a,-10 to -5,6a: -10 to -5
01568,6a,-10 to -5,6a: -10 to -5
01569,6a,-10 to -5,6a: -10 to -5
01570,6a,-10 to -5,6a: -10 to -5
01571,6a,-10 to -5,6a: -10 to -5
01581,6a,-10 to -5,6a: -10 to -5
01583,6a,-10 to -5,6a: -10 to -5
01585,5b,-15 to -10,5b: -15 to -10
01586,5b,-15 to -10,5b: -15 to -10
01588,6a,-10 to -5,6a: -10 to -5
01590,6a,-10 to -5,6a: -10 to -5
01601,5b,-15 to -10,5b: -15 to -10
01602,5b,-15 to -10,5b: -15 to -10
01603,5b,-15 to -10,5b: -15 to -10
01604,6a,-10 to -5,6a: -10 to -5
01605,6a,-10 to -5,6a: -10 to -5
01606,6a,-10 to -5,6a: -10 to -5
01607,5b,-15 to -10,5b: -15 to -10
01608,5b,-15 to -10,5b: -15 to -10
01609,6a,-10 to -5,6a: -10 to -5
01610,5b,-15 to -10,5b: -15 to -10
01611,6a,-10 to -5,6a: -10 to -5
01612,6a,-10 to -5,6a: -10 to -5
01613,5b,-15 to -10,5b: -15 to -10
01614,5b,-15 to -10,5b: -15 to -10
01615,5b,-15 to -10,5b: -15 to -10
01653,6a,-10 to -5,6a: -10 to -5
01655,6a,-10 to -5,6a: -10 to -5
01701,6a,-10 to -5,6a: -10 to -5
01702,6a,-10 to -5,6a: -10 to -5
01703,6a,-10 to -5,6a: -10 to -5
01704,6a,-10 to -5,6a: -10 to -5
01705,6a,-10 to -5,6a: -10 to -5
01718,6a,-10 to -5,6a: -10 to -5
01719,6a,-10 to -5,6a: -10 to -5
01720,6a,-10 to -5,6a: -10 to -5
01721,6a,-10 to -5,6a: -10 to -5
01730,6a,-10 to -5,6a: -10 to -5
01731,6a,-10 to -5,6a: -10 to -5
01740,6a,-10 to -5,6a: -10 to -5
01741,6a,-10 to -5,6a: -10 to -5
01742,6a,-10 to -5,6a: -10 to -5
01745,6a,-10 to -5,6a: -10 to -5
01746,6a,-10 to -5,6a: -10 to -5
01747,6a,-10 to -5,6a: -10 to -5
01748,6a,-10 to -5,6a: -10 to -5
01749,6a,-10 to -5,6a: -10 to -5
01752,6a,-10 to -5,6a: -10 to -5
01754,6a,-10 to -5,6a: -10 to -5
01756,6a,-10 to -5,6a: -10 to -5
01757,6a,-10 to -5,6a: -10 to -5
01760,6a,-10 to -5,6a: -10 to -5
01770,6a,-10 to -5,6a: -10 to -5
01772,6a,-10 to -5,6a: -10 to -5
01773,6a,-10 to -5,6a: -10 to -5
01775,6a,-10 to -5,6a: -10 to -5
01776,6a,-10 to -5,6a: -10 to -5
01778,6a,-10 to -5,6a: -10 to -5
01784,6a,-10 to -5,6a: -10 to -5
01801,6a,-10 to -5,6a: -10 to -5
01803,6a,-10 to -5,6a: -10 to -5
01805,6a,-10 to -5,6a: -10 to -5
01810,6a,-10 to -5,6a: -10 to -5
01812,6a,-10 to -5,6a: -10 to -5
01813,6a,-10 to -5,6a: -10 to -5
01815,6a,-10 to -5,6a: -10 to -5
01821,6a,-10 to -5,6a: -10 to -5
01822,6a,-10 to -5,6a: -10 to -5
01824,6a,-10 to -5,6a: -10 to -5
01826,6a,-10 to -5,6a: -10 to -5
01827,5b,-15 to -10,5b: -15 to -10
01830,6a,-10 to -5,6a: -10 to -5
01831,6a,-10 to -5,6a: -10 to -5
01832,6a,-10 to -5,6a: -10 to -5
01833,6a,-10 to -5,6a: -10 to -5
01834,6a,-10 to -5,6a: -10 to -5
01835,6a,-10 to -5,6a: -10 to -5
01840,6a,-10 to -5,6a: -10 to -5
01841,6a,-10 to -5,6a: -10 to -5
01842,6a,-10 to -5,6a: -10 to -5
01843,6a,-10 to -5,6a: -10 to -5
01844,6a,-10 to -5,6a: -10 to -5
01845,6a,-10 to -5,6a: -10 to -5
01850,6a,-10 to -5,6a: -10 to -5
01851,6a,-10 to -5,6a: -10 to -5
01852,6a,-10 to -5,6a: -10 to -5
01853,6a,-10 to -5,6a: -10 to -5
01854,6a,-10 to -5,6a: -10 to -5
01860,6a,-10 to -5,6a: -10 to -5
01862,6a,-10 to -5,6a: -10 to -5
01863,6a,-10 to -5,6a: -10 to -5
01864,6a,-10 to -5,6a: -10 to -5
01865,6a,-10 to -5,6a: -10 to -5
01866,6a,-10 to -5,6a: -10 to -5
01867,6a,-10 to -5,6a: -10 to -5
01876,6a,-10 to -5,6a: -10 to -5
01879,6a,-10 to -5,6a: -10 to -5
01880,6b,-5 to 0,6b: -5 to 0
01885,6a,-10 to -5,6a: -10 to -5
01886,6a,-10 to -5,6a: -10 to -5
01887,6a,-10 to -5,6a: -10 to -5
01888,6a,-10 to -5,6a: -10 to -5
01889,6a,-10 to -5,6a: -10 to -5
01890,6b,-5 to 0,6b: -5 to 0
01899,6a,-10 to -5,6a: -10 to -5
01901,6b,-5 to 0,6b: -5 to 0
01902,6b,-5 to 0,6b: -5 to 0
01903,6b,-5 to 0,6b: -5 to 0
01904,6b,-5 to 0,6b: -5 to 0
01905,6b,-5 to 0,6b: -5 to 0
01906,6b,-5 to 0,6b: -5 to 0
01907,6b,-5 to 0,6b: -5 to 0
01908,6b,-5 to 0,6b: -5 to 0
01910,6b,-5 to 0,6b: -5 to 0
01913,6a,-10 to -5,6a: -10 to -5
01915,6b,-5 to 0,6b: -5 to 0
01921,6a,-10 to -5,6a: -10 to -5
01922,6a,-10 to -5,6a: -10 to -5
01923,6b,-5 to 0,6b: -5 to 0
01929,6b,-5 to 0,6b: -5 to 0
01930,6b,-5 to 0,6b: -5 to 0
01931,6b,-5 to 0,6b: -5 to 0
01936,6b,-5 to 0,6b: -5 to 0
01937,6b,-5 to 0,6b: -5 to 0
01938,6b,-5 to 0,6b: -5 to 0
01940,6b,-5 to 0,6b: -5 to 0
01944,6b,-5 to 0,6b: -5 to 0
01945,6b,-5 to 0,6b: -5 to 0
01949,6a,-10 to -5,6a: -10 to -5
01950,6b,-5 to 0,6b: -5 to 0
01951,6b,-5 to 0,6b: -5 to 0
01952,6a,-10 to -5,6a: -10 to -5
01960,6b,-5 to 0,6b: -5 to 0
01961,6b,-5 to 0,6b: -5 to 0
01965,6b,-5 to 0,6b: -5 to 0
01966,6b,-5 to 0,6b: -5 to 0
01969,6b,-5 to 0,6b: -5 to 0
01970,6b,-5 to 0,6b: -5 to 0
01971,6b,-5 to 0,6b: -5 to 0
01982,6b,-5 to 0,6b: -5 to 0
01983,6a,-10 to -5,6a: -10 to -5
01984,6b,-5 to 0,6b: -5 to 0
01985,6a,-10 to -5,6a: -10 to -5
02018,6b,-5 to 0,6b: -5 to 0
02019,6a,-10 to -5,6a: -10 to -5
02020,6b,-5 to 0,6b: -5 to 0
02021,6b,-5 to 0,6b: -5 to 0
02025,6b,-5 to 0,6b: -5 to 0
02026,6b,-5 to 0,6b: -5 to 0
02027,6b,-5 to 0,6b: -5 to 0
02030,6b,-5 to 0,6b: -5 to 0
02032,6b,-5 to 0,6b: -5 to 0
02035,6a,-10 to -5,6a: -10 to -5
02038,6a,-10 to -5,6a: -10 to -5
02040,6b,-5 to 0,6b: -5 to 0
02041,6b,-5 to 0,6b: -5 to 0
02043,6b,-5 to 0,6b: -5 to 0
02044,6b,-5 to 0,6b: -5 to 0
02045,6b,-5 to 0,6b: -5 to 0
02047,6b,-5 to 0,6b: -5 to 0
02048,6a,-10 to -5,6a: -10 to -5
02050,6b,-5 to 0,6b: -5 to 0
02051,6b,-5 to 0,6b: -5 to 0
02052,6a,-10 to -5,6a: -10 to -5
02053,6a,-10 to -5,6a: -10 to -5
02054,6a,-10 to -5,6a: -10 to -5
02055,6b,-5 to 0,6b: -5 to 0
02056,6a,-10 to -5,6a: -10 to -5
02059,6b,-5 to 0,6b: -5 to 0
02060,6b,-5 to 0,6b: -5 to 0
02061,6b,-5 to 0,6b: -5 to 0
02062,6b,-5 to 0,6b: -5 to 0
02065,6b,-5 to 0,6b: -5 to 0
02066,6b,-5 to 0,6b: -5 to 0
02067,6b,-5 to 0,6b: -5 to 0
02070,6a,-10 to -5,6a: -10 to -5
02071,6a,-10 to -5,6a: -10 to -5
02072,6b,-5 to 0,6b: -5 to 0
02081,6a,-10 to -5,6a: -10 to -5
02090,6b,-5 to 0,6b: -5 to 0
02093,6a,-10 to -5,6a: -10 to -5
02108,6b,-5 to 0,6b: -5 to 0
02109,6b,-5 to 0,6b: -5 to 0
02110,7a,0 to 5,7a: 0 to 5
02111,6b,-5 to 0,6b: -5 to 0
02112,6b,-5 to 0,6b: -5 to 0
02113,6b,-5 to 0,6b: -5 to 0
02114,6b,-5 to 0,6b: -5 to 0
02115,6b,-5 to 0,6b: -5 to 0
02116,6b,-5 to 0,6b: -5 to 0
02117,6b,-5 to 0,6b: -5 to 0
02118,6b,-5 to 0,6b: -5 to 0
02119,6b,-5 to 0,6b: -5 to 0
02120,6b,-5 to 0,6b: -5 to 0
02121,6b,-5 to 0,6b: -5 to 0
02122,6b,-5 to 0,6b: -5 to 0
02123,6b,-5 to 0,6b: -5 to 0
02124,6b,-5 to 0,6b: -5 to 0
02125,6b,-5 to 0,6b: -5 to 0
02126,6b,-5 to 0,6b: -5 to 0
02127,7a,0 to 5,7a: 0 to 5
02128,7a,0 to 5,7a: 0 to 5
02129,6b,-5 to 0,6b: -5 to 0
02130,6b,-5 to 0,6b: -5 to 0
02131,6b,-5 to 0,6b: -5 to 0
02132,6b,-5 to 0,6b: -5 to 0
02133,6b,-5 to 0,6b: -5 to 0
02134,6b,-5 to 0,6b: -5 to 0
02135,6b,-5 to 0,6b: -5 to 0
02136,6b,-5 to 0,6b: -5 to 0
02137,6b,-5 to 0,6b: -5 to 0
02138,6b,-5 to 0,6b: -5 to 0
02139,6b,-5 to 0,6b: -5 to 0
02140,6b,-5 to 0,6b: -5 to 0
02141,6b,-5 to 0,6b: -5 to 0
02142,6b,-5 to 0,6b: -5 to 0
02143,6b,-5 to 0,6b: -5 to 0
02144,6b,-5 to 0,6b: -5 to 0
02145,6b,-5 to 0,6b: -5 to 0
02148,6b,-5 to 0,6b: -5 to 0
02149,6b,-5 to 0,6b: -5 to 0
02150,6b,-5 to 0,6b: -5 to 0
02151,6b,-5 to 0,6b: -5 to 0
02152,7a,0 to 5,7a: 0 to 5
02153,6b,-5 to 0,6b: -5 to 0
02155,6b,-5 to 0,6b: -5 to 0
02156,6b,-5 to 0,6b: -5 to 0
02163,6b,-5 to 0,6b: -5 to 0
02169,6b,-5 to 0,6b: -5 to 0
02170,6b,-5 to 0,6b: -5 to 0
02171,6b,-5 to 0,6b: -5 to 0
02176,6b,-5 to 0,6b: -5 to 0
02180,6b,-5 to 0,6b: -5 to 0
02184,6b,-5 to 0,6b: -5 to 0
02185,6b,-5 to 0,6b: -5 to 0
02186,6b,-5 to 0,6b: -5 to 0
02187,6b,-5 to 0,6b: -5 to 0
02188,6b,-5 to 0,6b: -5 to 0
02189,6b,-5 to 0,6b: -5 to 0
02190,6b,-5 to 0,6b: -5 to 0
02191,6b,-5 to 0,6b: -5 to 0
02196,6b,-5 to 0,6b: -5 to 0
02199,6b,-5 to 0,6b: -5 to 0
02201,6b,-5 to 0,6b: -5 to 0
02203,6b,-5 to 0,6b: -5 to 0
02204,6b,-5 to 0,6b: -5 to 0
02205,6b,-5 to 0,6b: -5 to 0
02206,7a,0 to 5,7a: 0 to 5
02210,7a,0 to 5,7a: 0 to 5
02211,6b,-5 to 0,6b: -5 to 0
02212,6b,-5 to 0,6b: -5 to 0
02215,6b,-5 to 0,6b: -5 to 0
02217,6b,-5 to 0,6b: -5 to 0
02222,6b,-5 to 0,6b: -5 to 0
02238,6b,-5 to 0,6b: -5 to 0
02241,6b,-5 to 0,6b: -5 to 0
02266,6b,-5 to 0,6b: -5 to 0
02269,6b,-5 to 0,6b: -5 to 0
02283,7a,0 to 5,7a: 0 to 5
02284,7a,0 to 5,7a: 0 to 5
02293,6b,-5 to 0,6b: -5 to 0
02297,6b,-5 to 0,6b: -5 to 0
02298,7a,0 to 5,7a: 0 to 5
02301,6b,-5 to 0,6b: -5 to 0
02302,6b,-5 to 0,6b: -5 to 0
02303,6b,-5 to 0,6b: -5 to 0
02304,6b,-5 to 0,6b: -5 to 0
02305,6b,-5 to 0,6b: -5 to 0
02322,6b,-5 to 0,6b: -5 to 0
02324,6b,-5 to 0,6b: -5 to 0
02325,6b,-5 to 0,6b: -5 to 0
02327,6b,-5 to 0,6b: -5 to 0
02330,6b,-5 to 0,6b: -5 to 0
02331,6b,-5 to 0,6b: -5 to 0
02332,6b,-5 to 0,6b: -5 to 0
02333,6b,-5 to 0,6b: -5 to 0
02334,6b,-5 to 0,6b: -5 to 0
02337,6b,-5 to 0,6b: -5 to 0
02338,6b,-5 to 0,6b: -5 to 0
02339,6b,-5 to 0,6b: -5 to 0
02340,6b,-5 to 0,6b: -5 to 0
02341,6b,-5 to 0,6b: -5 to 0
02343,6b,-5 to 0,6b: -5 to 0
02344,6b,-5 to 0,6b: -5 to 0
02345,6b,-5 to 0,6b: -5 to 0
02346,6b,-5 to 0,6b: -5 to 0
02347,6b,-5 to 0,6b: -5 to 0
02348,6b,-5 to 0,6b: -5 to 0
02349,6b,-5 to 0,6b: -5 to 0
02350,6b,-5 to 0,6b: -5 to 0
02351,6b,-5 to 0,6b: -5 to 0
02355,6b,-5 to 0,6b: -5 to 0
02356,6b,-5 to 0,6b: -5 to 0
02357,6b,-5 to 0,6b: -5 to 0
02358,6b,-5 to 0,6b: -5 to 0
02359,6b,-5 to 0,6b: -5 to 0
02360,6b,-5 to 0,6b: -5 to 0
02361,6b,-5 to 0,6b: -5 to 0
02362,6b,-5 to 0,6b: -5 to 0
02364,6b,-5 to 0,6b: -5 to 0
02366,6b,-5 to 0,6b: -5 to 0
02367,6b,-5 to 0,6b: -5 to 0
02368,6b,-5 to 0,6b: -5 to 0
02370,6b,-5 to 0,6b: -5 to 0
02375,6b,-5 to 0,6b: -5 to 0
02379,6b,-5 to 0,6b: -5 to 0
02381,6b,-5 to 0,6b: -5 to 0
02382,6b,-5 to 0,6b: -5 to 0
02420,6a,-10 to -5,6a: -10 to -5
02421,6a,-10 to -5,6a: -10 to -5
02445,6b,-5 to 0,6b: -5 to 0
02446,6b,-5 to 0,6b: -5 to 0
02447,6b,-5 to 0,6b: -5 to 0
02451,6a,-10 to -5,6a: -10 to -5
02452,6b,-5 to 0,6b: -5 to 0
02453,6b,-5 to 0,6b: -5 to 0
02454,6b,-5 to 0,6b: -5 to 0
02455,6a,-10 to -5,6a: -10 to -5
02456,6b,-5 to 0,6b: -5 to 0
02457,6b,-5 to 0,6b: -5 to 0
02458,6b,-5 to 0,6b: -5 to 0
02459,6b,-5 to 0,6b: -5 to 0
02460,6b,-5 to 0,6b: -5 to 0
02461,6b,-5 to 0,6b: -5 to 0
02462,6b,-5 to 0,6b: -5 to 0
02464,6b,-5 to 0,6b: -5 to 0
02465,6b,-5 to 0,6b: -5 to 0
02466,6b,-5 to 0,6b: -5 to 0
02467,6b,-5 to 0,6b: -5 to 0
02468,6b,-5 to 0,6b: -5 to 0
02471,6b,-5 to 0,6b: -5 to 0
02472,6b,-5 to 0,6b: -5 to 0
02474,6b,-5 to 0,6b: -5 to 0
02475,6b,-5 to 0,6b: -5 to 0
02476,6b,-5 to 0,6b: -5 to 0
02477,6b,-5 to 0,6b: -5 to 0
02478,6b,-5 to 0,6b: -5 to 0
02479,6b,-5 to 0,6b: -5 to 0
02481,6b,-5 to 0,6b: -5 to 0
02482,6a,-10 to -5,6a: -10 to -5
02492,6b,-5 to 0,6b: -5 to 0
02493,6a,-10 to -5,6a: -10 to -5
02494,6b,-5 to 0,6b: -5 to 0
02495,6b,-5 to 0,6b: -5 to 0
02532,6b,-5 to 0,6b: -5 to 0
02534,7a,0 to 5,7a: 0 to 5
02535,7a,0 to 5,7a: 0 to 5
02536,7a,0 to 5,7a: 0 to 5
02537,7a,0 to 5,7a: 0 to 5
02538,6b,-5 to 0,6b: -5 to 0
02539,7a,0 to 5,7a: 0 to 5
02540,7a,0 to 5,7a: 0 to 5
02541,7a,0 to 5,7a: 0 to 5
02542,7a,0 to 5,7a: 0 to 5
02543,7a,0 to 5,7a: 0 to 5
02552,7a,0 to 5,7a: 0 to 5
02553,6b,-5 to 0,6b: -5 to 0
02554,7b,5 to 10,7b: 5 to 10
02556,7a,0 to 5,7a: 0 to 5
02557,7a,0 to 5,7a: 0 to 5
02558,6b,-5 to 0,6b: -5 to 0
02559,6b,-5 to 0,6b: -5 to 0
02561,6b,-5 to 0,6b: -5 to 0
02562,6b,-5 to 0,6b: -5 to 0
02563,6b,-5 to 0,6b: -5 to 0
02564,7a,0 to 5,7a: 0 to 5
02568,7a,0 to 5,7a: 0 to 5
02571,6b,-5 to 0,6b: -5 to 0
02574,7a,0 to 5,7a: 0 to 5
02575,7a,0 to 5,7a: 0 to 5
02576,6b,-5 to 0,6b: -5 to 0
02584,7a,0 to 5,7a: 0 to 5
02601,7a,0 to 5,7a: 0 to 5
02630,7a,0 to 5,7a: 0 to 5
02631,7a,0 to 5,7a: 0 to 5
02632,7a,0 to 5,7a: 0 to 5
02633,7a,0 to 5,7a: 0 to 5
02634,7a,0 to 5,7a: 0 to 5
02635,7a,0 to 5,7a: 0 to 5
02637,7a,0 to 5,7a: 0 to 5
02638,7a,0 to 5,7a: 0 to 5
02639,7a,0 to 5,7a: 0 to 5
